TABLE_NAME,COLUMN_NAME,IS_NULLABLE,COLUMN_TYPE
SPECIMEN,DISEASE_STATUS_CONCEPT_ID,YES,INTEGER
SPECIMEN,SPECIMEN_SOURCE_ID,YES,CHARACTER VARYING
SPECIMEN,SPECIMEN_SOURCE_VALUE,YES,CHARACTER VARYING
SPECIMEN,UNIT_SOURCE_VALUE,YES,CHARACTER VARYING
SPECIMEN,ANATOMIC_SITE_SOURCE_VALUE,YES,CHARACTER VARYING
SPECIMEN,DISEASE_STATUS_SOURCE_VALUE,YES,CHARACTER VARYING
DEATH,PERSON_ID,NO,INTEGER
DEATH,DEATH_DATE,NO,DATE
DEATH,DEATH_TYPE_CONCEPT_ID,NO,INTEGER
DEATH,CAUSE_CONCEPT_ID,YES,INTEGER
DEATH,CAUSE_SOURCE_VALUE,YES,CHARACTER VARYING
DEATH,CAUSE_SOURCE_CONCEPT_ID,YES,INTEGER
VISIT_OCCURRENCE,VISIT_OCCURRENCE_ID,NO,INTEGER
VISIT_OCCURRENCE,PERSON_ID,NO,INTEGER
VISIT_OCCURRENCE,VISIT_CONCEPT_ID,NO,INTEGER
VISIT_OCCURRENCE,VISIT_START_DATE,NO,DATE
VISIT_OCCURRENCE,VISIT_START_TIME,YES,CHARACTER VARYING
VISIT_OCCURRENCE,VISIT_END_DATE,NO,DATE
VISIT_OCCURRENCE,VISIT_END_TIME,YES,CHARACTER VARYING
VISIT_OCCURRENCE,VISIT_TYPE_CONCEPT_ID,NO,INTEGER
VISIT_OCCURRENCE,PROVIDER_ID,YES,INTEGER
VISIT_OCCURRENCE,CARE_SITE_ID,YES,INTEGER
VISIT_OCCURRENCE,VISIT_SOURCE_VALUE,YES,CHARACTER VARYING
VISIT_OCCURRENCE,VISIT_SOURCE_CONCEPT_ID,YES,INTEGER
PROCEDURE_OCCURRENCE,PROCEDURE_OCCURRENCE_ID,NO,INTEGER
PROCEDURE_OCCURRENCE,PERSON_ID,NO,INTEGER
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,NO,INTEGER
PROCEDURE_OCCURRENCE,PROCEDURE_DATE,NO,DATE
PROCEDURE_OCCURRENCE,PROCEDURE_TYPE_CONCEPT_ID,NO,INTEGER
PROCEDURE_OCCURRENCE,QUALIFIER_CONCEPT_ID,YES,INTEGER
PROCEDURE_OCCURRENCE,QUANTITY,YES,INTEGER
PROCEDURE_OCCURRENCE,PROVIDER_ID,YES,INTEGER
PROCEDURE_OCCURRENCE,VISIT_OCCURRENCE_ID,YES,INTEGER
PROCEDURE_OCCURRENCE,PROCEDURE_SOURCE_VALUE,YES,CHARACTER VARYING
PROCEDURE_OCCURRENCE,PROCEDURE_SOURCE_CONCEPT_ID,YES,INTEGER
PROCEDURE_OCCURRENCE,QUALIFIER_SOURCE_VALUE,YES,CHARACTER VARYING
DRUG_EXPOSURE,DRUG_EXPOSURE_ID,NO,INTEGER
DRUG_EXPOSURE,PERSON_ID,NO,INTEGER
DRUG_EXPOSURE,DRUG_CONCEPT_ID,NO,INTEGER
DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATE,NO,DATE
DRUG_EXPOSURE,DRUG_EXPOSURE_END_DATE,YES,DATE
DRUG_EXPOSURE,DRUG_TYPE_CONCEPT_ID,NO,INTEGER
DRUG_EXPOSURE,STOP_REASON,YES,CHARACTER VARYING
DRUG_EXPOSURE,REFILLS,YES,INTEGER
DRUG_EXPOSURE,QUANTITY,YES,INTEGER
DRUG_EXPOSURE,DAYS_SUPPLY,YES,INTEGER
DRUG_EXPOSURE,SIG,YES,CHARACTER VARYING
DRUG_EXPOSURE,ROUTE_CONCEPT_ID,YES,INTEGER
DRUG_EXPOSURE,EFFECTIVE_DRUG_DOSE,YES,DOUBLE PRECISION
DRUG_EXPOSURE,DOSE_UNIT_CONCEPT_ID,YES,INTEGER
DRUG_EXPOSURE,LOT_NUMBER,YES,CHARACTER VARYING
DRUG_EXPOSURE,PROVIDER_ID,YES,INTEGER
DRUG_EXPOSURE,VISIT_OCCURRENCE_ID,YES,INTEGER
DRUG_EXPOSURE,DRUG_SOURCE_VALUE,YES,CHARACTER VARYING
DRUG_EXPOSURE,DRUG_SOURCE_CONCEPT_ID,YES,INTEGER
DRUG_EXPOSURE,ROUTE_SOURCE_VALUE,YES,CHARACTER VARYING
DRUG_EXPOSURE,DOSE_UNIT_SOURCE_VALUE,YES,CHARACTER VARYING
DEVICE_EXPOSURE,DEVICE_EXPOSURE_ID,NO,INTEGER
DEVICE_EXPOSURE,PERSON_ID,NO,INTEGER
DEVICE_EXPOSURE,DEVICE_CONCEPT_ID,NO,INTEGER
DEVICE_EXPOSURE,DEVICE_EXPOSURE_START_DATE,NO,DATE
DEVICE_EXPOSURE,DEVICE_EXPOSURE_END_DATE,YES,DATE
DEVICE_EXPOSURE,DEVICE_TYPE_CONCEPT_ID,NO,INTEGER
DEVICE_EXPOSURE,UNIQUE_DEVICE_ID,YES,CHARACTER VARYING
DEVICE_EXPOSURE,QUANTITY,YES,INTEGER
DEVICE_EXPOSURE,PROVIDER_ID,YES,INTEGER
DEVICE_EXPOSURE,VISIT_OCCURRENCE_ID,YES,INTEGER
DEVICE_EXPOSURE,DEVICE_SOURCE_VALUE,YES,CHARACTER VARYING
DEVICE_EXPOSURE,DEVICE_SOURCE_CONCEPT_ID,YES,INTEGER
CONDITION_OCCURRENCE,CONDITION_OCCURRENCE_ID,NO,INTEGER
CONDITION_OCCURRENCE,PERSON_ID,NO,INTEGER
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,NO,INTEGER
CONDITION_OCCURRENCE,CONDITION_START_DATE,NO,DATE
CONDITION_OCCURRENCE,CONDITION_END_DATE,YES,DATE
CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID,NO,INTEGER
CONDITION_OCCURRENCE,STOP_REASON,YES,CHARACTER VARYING
CONDITION_OCCURRENCE,PROVIDER_ID,YES,INTEGER
CONDITION_OCCURRENCE,VISIT_OCCURRENCE_ID,YES,INTEGER
CONDITION_OCCURRENCE,CONDITION_SOURCE_VALUE,YES,CHARACTER VARYING
CONDITION_OCCURRENCE,CONDITION_SOURCE_CONCEPT_ID,YES,INTEGER
MEASUREMENT,MEASUREMENT_ID,NO,INTEGER
MEASUREMENT,PERSON_ID,NO,INTEGER
MEASUREMENT,MEASUREMENT_CONCEPT_ID,NO,INTEGER
MEASUREMENT,MEASUREMENT_DATE,NO,DATE
MEASUREMENT,MEASUREMENT_TIME,YES,CHARACTER VARYING
MEASUREMENT,MEASUREMENT_TYPE_CONCEPT_ID,NO,INTEGER
MEASUREMENT,OPERATOR_CONCEPT_ID,NO,INTEGER
MEASUREMENT,VALUE_AS_NUMBER,YES,DOUBLE PRECISION
MEASUREMENT,VALUE_AS_CONCEPT_ID,YES,INTEGER
MEASUREMENT,UNIT_CONCEPT_ID,YES,INTEGER
MEASUREMENT,RANGE_LOW,YES,DOUBLE PRECISION
MEASUREMENT,RANGE_HIGH,YES,DOUBLE PRECISION
MEASUREMENT,PROVIDER_ID,YES,INTEGER
MEASUREMENT,VISIT_OCCURRENCE_ID,YES,INTEGER
MEASUREMENT,MEASUREMENT_SOURCE_VALUE,YES,CHARACTER VARYING
MEASUREMENT,MEASUREMENT_SOURCE_CONCEPT_ID,YES,INTEGER
MEASUREMENT,UNIT_SOURCE_VALUE,YES,CHARACTER VARYING
MEASUREMENT,VALUE_SOURCE_VALUE,YES,CHARACTER VARYING
NOTE,NOTE_ID,NO,INTEGER
NOTE,PERSON_ID,NO,INTEGER
NOTE,NOTE_DATE,NO,DATE
NOTE,NOTE_TIME,YES,CHARACTER VARYING
NOTE,NOTE_CONCEPT_ID,NO,INTEGER
NOTE,FREE_TEXT,NO,TEXT
NOTE,PROVIDER_ID,YES,INTEGER
NOTE,VISIT_OCCURRENCE_ID,YES,INTEGER
NOTE,NOTE_SOURCE_VALUE,YES,CHARACTER VARYING
OBSERVATION,OBSERVATION_ID,NO,INTEGER
OBSERVATION,PERSON_ID,NO,INTEGER
OBSERVATION,OBSERVATION_CONCEPT_ID,NO,INTEGER
OBSERVATION,OBSERVATION_DATE,NO,DATE
OBSERVATION,OBSERVATION_TIME,YES,CHARACTER VARYING
OBSERVATION,OBSERVATION_TYPE_CONCEPT_ID,NO,INTEGER
OBSERVATION,VALUE_AS_NUMBER,YES,DOUBLE PRECISION
OBSERVATION,VALUE_AS_STRING,YES,CHARACTER VARYING
OBSERVATION,VALUE_AS_CONCEPT_ID,YES,INTEGER
OBSERVATION,QUALIFIER_CONCEPT_ID,YES,INTEGER
OBSERVATION,UNIT_CONCEPT_ID,YES,INTEGER
OBSERVATION,PROVIDER_ID,YES,INTEGER
OBSERVATION,VISIT_OCCURRENCE_ID,YES,INTEGER
OBSERVATION,OBSERVATION_SOURCE_VALUE,YES,CHARACTER VARYING
OBSERVATION,OBSERVATION_SOURCE_CONCEPT_ID,YES,INTEGER
OBSERVATION,UNIT_SOURCE_VALUE,YES,CHARACTER VARYING
OBSERVATION,QUALIFIER_SOURCE_VALUE,YES,CHARACTER VARYING
FACT_RELATIONSHIP,DOMAIN_CONCEPT_ID_1,NO,INTEGER
FACT_RELATIONSHIP,FACT_ID_1,NO,INTEGER
FACT_RELATIONSHIP,DOMAIN_CONCEPT_ID_2,NO,INTEGER
FACT_RELATIONSHIP,FACT_ID_2,NO,INTEGER
FACT_RELATIONSHIP,RELATIONSHIP_CONCEPT_ID,NO,INTEGER
LOCATION,LOCATION_ID,NO,INTEGER
LOCATION,ADDRESS_1,YES,CHARACTER VARYING
LOCATION,ADDRESS_2,YES,CHARACTER VARYING
LOCATION,CITY,YES,CHARACTER VARYING
LOCATION,STATE,YES,CHARACTER VARYING
LOCATION,ZIP,YES,CHARACTER VARYING
LOCATION,COUNTY,YES,CHARACTER VARYING
LOCATION,LOCATION_SOURCE_VALUE,YES,CHARACTER VARYING
CARE_SITE,CARE_SITE_ID,NO,INTEGER
CARE_SITE,PLACE_OF_SERVICE_CONCEPT_ID,YES,INTEGER
CARE_SITE,LOCATION_ID,YES,INTEGER
CARE_SITE,CARE_SITE_SOURCE_VALUE,YES,CHARACTER VARYING
CARE_SITE,PLACE_OF_SERVICE_SOURCE_VALUE,YES,CHARACTER VARYING
PROVIDER,PROVIDER_ID,NO,INTEGER
PROVIDER,NPI,YES,CHARACTER VARYING
PROVIDER,DEA,YES,CHARACTER VARYING
PROVIDER,SPECIALTY_CONCEPT_ID,YES,INTEGER
PROVIDER,CARE_SITE_ID,YES,INTEGER
PROVIDER,YEAR_OF_BIRTH,YES,INTEGER
PROVIDER,GENDER_CONCEPT_ID,YES,INTEGER
PROVIDER,PROVIDER_SOURCE_VALUE,YES,CHARACTER VARYING
PROVIDER,SPECIALTY_SOURCE_VALUE,YES,CHARACTER VARYING
PROVIDER,GENDER_SOURCE_VALUE,YES,CHARACTER VARYING
PAYER_PLAN_PERIOD,PAYER_PLAN_PERIOD_ID,NO,INTEGER
PAYER_PLAN_PERIOD,PERSON_ID,NO,INTEGER
PAYER_PLAN_PERIOD,PAYER_PLAN_PERIOD_START_DATE,NO,DATE
PAYER_PLAN_PERIOD,PAYER_PLAN_PERIOD_END_DATE,NO,DATE
PAYER_PLAN_PERIOD,PAYER_SOURCE_VALUE,YES,CHARACTER VARYING
PAYER_PLAN_PERIOD,PLAN_SOURCE_VALUE,YES,CHARACTER VARYING
PAYER_PLAN_PERIOD,FAMILY_SOURCE_VALUE,YES,CHARACTER VARYING
VISIT_COST,VISIT_COST_ID,NO,INTEGER
VISIT_COST,VISIT_OCCURRENCE_ID,NO,INTEGER
VISIT_COST,CURRENCY_CONCEPT_ID,YES,INTEGER
VISIT_COST,PAID_COPAY,YES,DOUBLE PRECISION
VISIT_COST,PAID_COINSURANCE,YES,DOUBLE PRECISION
VISIT_COST,PAID_TOWARD_DEDUCTIBLE,YES,DOUBLE PRECISION
VISIT_COST,PAID_BY_PAYER,YES,DOUBLE PRECISION
VISIT_COST,PAID_BY_COORDINATION_BENEFITS,YES,DOUBLE PRECISION
VISIT_COST,TOTAL_OUT_OF_POCKET,YES,DOUBLE PRECISION
VISIT_COST,TOTAL_PAID,YES,DOUBLE PRECISION
VISIT_COST,PAYER_PLAN_PERIOD_ID,YES,INTEGER
PROCEDURE_COST,PROCEDURE_COST_ID,NO,INTEGER
PROCEDURE_COST,PROCEDURE_OCCURRENCE_ID,NO,INTEGER
PROCEDURE_COST,CURRENCY_CONCEPT_ID,YES,INTEGER
PROCEDURE_COST,PAID_COPAY,YES,DOUBLE PRECISION
PROCEDURE_COST,PAID_COINSURANCE,YES,DOUBLE PRECISION
PROCEDURE_COST,PAID_TOWARD_DEDUCTIBLE,YES,DOUBLE PRECISION
PROCEDURE_COST,PAID_BY_PAYER,YES,DOUBLE PRECISION
PROCEDURE_COST,PAID_BY_COORDINATION_BENEFITS,YES,DOUBLE PRECISION
PROCEDURE_COST,TOTAL_OUT_OF_POCKET,YES,DOUBLE PRECISION
PROCEDURE_COST,TOTAL_PAID,YES,DOUBLE PRECISION
PROCEDURE_COST,PAYER_PLAN_PERIOD_ID,YES,INTEGER
DRUG_COST,DRUG_COST_ID,NO,INTEGER
DRUG_COST,DRUG_EXPOSURE_ID,NO,INTEGER
DRUG_COST,CURRENCY_CONCEPT_ID,YES,INTEGER
DRUG_COST,PAID_COPAY,YES,DOUBLE PRECISION
DRUG_COST,PAID_COINSURANCE,YES,DOUBLE PRECISION
DRUG_COST,PAID_TOWARD_DEDUCTIBLE,YES,DOUBLE PRECISION
DRUG_COST,PAID_BY_PAYER,YES,DOUBLE PRECISION
DRUG_COST,PAID_BY_COORDINATION_BENEFITS,YES,DOUBLE PRECISION
DRUG_COST,TOTAL_OUT_OF_POCKET,YES,DOUBLE PRECISION
DRUG_COST,TOTAL_PAID,YES,DOUBLE PRECISION
DRUG_COST,INGREDIENT_COST,YES,DOUBLE PRECISION
DRUG_COST,DISPENSING_FEE,YES,DOUBLE PRECISION
DRUG_COST,AVERAGE_WHOLESALE_PRICE,YES,DOUBLE PRECISION
DRUG_COST,PAYER_PLAN_PERIOD_ID,YES,INTEGER
DEVICE_COST,DEVICE_COST_ID,NO,INTEGER
DEVICE_COST,DEVICE_EXPOSURE_ID,NO,INTEGER
DEVICE_COST,CURRENCY_CONCEPT_ID,YES,INTEGER
DEVICE_COST,PAID_COPAY,YES,DOUBLE PRECISION
DEVICE_COST,PAID_COINSURANCE,YES,DOUBLE PRECISION
DEVICE_COST,PAID_TOWARD_DEDUCTIBLE,YES,DOUBLE PRECISION
DEVICE_COST,PAID_BY_PAYER,YES,DOUBLE PRECISION
DEVICE_COST,PAID_BY_COORDINATION_BENEFITS,YES,DOUBLE PRECISION
DEVICE_COST,TOTAL_OUT_OF_POCKET,YES,DOUBLE PRECISION
DEVICE_COST,TOTAL_PAID,YES,DOUBLE PRECISION
DEVICE_COST,PAYER_PLAN_PERIOD_ID,YES,INTEGER
DRUG_ERA,DRUG_ERA_ID,NO,INTEGER
DRUG_ERA,PERSON_ID,NO,INTEGER
DRUG_ERA,DRUG_CONCEPT_ID,NO,INTEGER
DRUG_ERA,DRUG_ERA_START_DATE,NO,DATE
DRUG_ERA,DRUG_ERA_END_DATE,NO,DATE
DRUG_ERA,DRUG_EXPOSURE_COUNT,YES,INTEGER
DRUG_ERA,GAP_DAYS,YES,INTEGER
DOSE_ERA,DOSE_ERA_ID,NO,INTEGER
DOSE_ERA,PERSON_ID,NO,INTEGER
DOSE_ERA,DRUG_CONCEPT_ID,NO,INTEGER
DOSE_ERA,UNIT_CONCEPT_ID,NO,INTEGER
DOSE_ERA,DOSE_VALUE,NO,DOUBLE PRECISION
DOSE_ERA,DOSE_ERA_START_DATE,NO,DATE
DOSE_ERA,DOSE_ERA_END_DATE,NO,DATE
CONDITION_ERA,CONDITION_ERA_ID,NO,INTEGER
CONDITION_ERA,PERSON_ID,NO,INTEGER
CONDITION_ERA,CONDITION_CONCEPT_ID,NO,INTEGER
CONDITION_ERA,CONDITION_ERA_START_DATE,NO,DATE
CONDITION_ERA,CONDITION_ERA_END_DATE,NO,DATE
CONDITION_ERA,CONDITION_OCCURRENCE_COUNT,YES,INTEGER
COHORT,COHORT_ID,NO,INTEGER
COHORT,COHORT_DEFINITION_ID,NO,INTEGER
COHORT,COHORT_START_DATE,NO,DATE
COHORT,COHORT_END_DATE,YES,DATE
COHORT,SUBJECT_ID,NO,INTEGER
COHORT,STOP_REASON,YES,CHARACTER VARYING
COHORT_DEFINITION,COHORT_DEFINITION_ID,NO,INTEGER
COHORT_DEFINITION,COHORT_DEFINITION_NAME,NO,CHARACTER VARYING
COHORT_DEFINITION,COHORT_DEFINITION_DESCRIPTION,YES,TEXT
COHORT_DEFINITION,DEFINITION_TYPE_CONCEPT_ID,NO,INTEGER
COHORT_DEFINITION,COHORT_DEFINITION_SYNTAX,YES,TEXT
COHORT_DEFINITION,EXECUTION_DATE,YES,DATE
