atc,atc_name,rxnorm_concept_id,rxnorm_concept name,atc_concept_id,rxnorm_code
C01BB02,MEXILETINE,1307542,Mexiletine,21600261,6926
C01BB03,TOCAINIDE,1351447,Tocainide,21600262,42359
C01BC03,PROPAFENONE,1353256,Propafenone,21600265,8754
C01BC04,FLECAINIDE,1354860,Flecainide,21600266,4441
C01BC08,ENCAINIDE,19051513,Encainide,21600268,42368
C01BD01,AMIODARONE,1309944,Amiodarone,21600270,703
C01BD02,BRETYLIUM TOSILATE,19038998,bretylium,21600271,19685
C01BD04,DOFETILIDE,1362979,dofetilide,21600273,49247
C01BD05,IBUTILIDE,19050087,ibutilide,21600274,41289
C01BG01,MORACIZINE,1344996,Moricizine,21600277,40169
C01CA02,ISOPRENALINE,1183554,Isoproterenol,21600282,6054
C01CA03,NOREPINEPHRINE,1321341,Norepinephrine,21600283,7512
C01CA04,DOPAMINE,1337860,Dopamine,21600284,3628
C01CA06,PHENYLEPHRINE,1135766,Phenylephrine,21600286,8163
C01CA07,DOBUTAMINE,1337720,Dobutamine,21600287,3616
C01CA09,METARAMINOL,19003303,Metaraminol,21600289,6805
C01CA10,METHOXAMINE,19005208,Methoxamine,21600290,6853
C01CA11,MEPHENTERMINE,19002664,Mephentermine,21600291,6756
C01CA17,MIDODRINE,1308368,Midodrine,21600297,6963
C01CA19,FENOLDOPAM,19095721,Fenoldopam,21600299,24853
C01CA22,ARBUTAMINE,19086330,arbutamine,21600301,61609
C01CA24,EPINEPHRINE,1192710,Chlorpheniramine,21600303,2400
C01CA24,EPINEPHRINE,1343916,Epinephrine,21600303,3992
C01CE01,AMRINONE,19017805,Inamrinone,21600307,738
C01CE02,MILRINONE,1368671,Milrinone,21600308,52769
C01DA02,GLYCERYL TRINITRATE,1361711,Nitroglycerin,21600317,4917
C01DA05,PENTAERITHRITYL TETRANITRATE,19022446,pentaerythritol,21600319,33055
C01DA08,ISOSORBIDE DINITRATE,1383925,Isosorbide Dinitrate,21600321,6058
C01DA13,ERYTRITYL TETRANITRATE,19045644,Erythrityl Tetranitrate,21600323,4040
C01DA14,ISOSORBIDE MONONITRATE,1383815,Isosorbide,21600324,6057
C01DA55,"PENTAERITHRITYL TETRANITRATE, COMBINATIONS",734275,Phenobarbital,21600329,8134
C01DA55,"PENTAERITHRITYL TETRANITRATE, COMBINATIONS",19022446,pentaerythritol,21600329,33055
C01DB01,FLOSEQUINAN,19096489,flosequinan,21600336,25089
C01DX19,NESIRITIDE,1338985,Brain natriuretic peptide,21600355,19666
C01EA01,ALPROSTADIL,1381504,Alprostadil,21600362,598
C01EB,OTHER CARDIAC PREPARATIONS,1351115,coenzyme Q10,21600363,21406
C01EB,OTHER CARDIAC PREPARATIONS,1389885,red yeast rice,21600363,232540
C01EB03,INDOMETACIN,1178663,Indomethacin,21600365,5781
C01EB04,CRATAEGUS GLYCOSIDES,1324250,Hawthorn preparation,21600366,155097
C01EB04,CRATAEGUS GLYCOSIDES,1401437,Garlic preparation,21600366,265647
C01EB09,UBIDECARENONE,1306837,Ubiquinone,21600370,10975
C01EB09,UBIDECARENONE,1351115,coenzyme Q10,21600370,21406
C01EB09,UBIDECARENONE,19101786,ubiquinol,21600370,39085
C01EB10,ADENOSINE,1309204,Adenosine,21600371,296
C01EB10,ADENOSINE,19015230,Adenosine Triphosphate,21600371,318
C01EB16,IBUPROFEN,1177480,Ibuprofen,21600375,5640
C01EB18,RANOLAZINE,1337107,ranolazine,21600377,35829
C01EB21,REGADENOSON,19090761,regadenoson,21600379,640062
C01EX,OTHER CARDIAC COMBINATION PRODUCTS,1351115,coenzyme Q10,21600380,21406
C01EX,OTHER CARDIAC COMBINATION PRODUCTS,1373928,Hydralazine,21600380,5470
C01EX,OTHER CARDIAC COMBINATION PRODUCTS,1383925,Isosorbide Dinitrate,21600380,6058
C01EX,OTHER CARDIAC COMBINATION PRODUCTS,1553610,Levocarnitine,21600380,42955
C01EX,OTHER CARDIAC COMBINATION PRODUCTS,19009540,Vitamin E,21600380,11256
C01EX,OTHER CARDIAC COMBINATION PRODUCTS,19062817,Riboflavin,21600380,9346
C02AA01,RESCINNAMINE,19062195,rescinnamine,21600384,9259
C02AA02,RESERPINE,1362225,Reserpine,21600385,9260
C02AA04,"RAUWOLFIA ALKALOIDS, WHOLE ROOT",1326378,Rauwolfia preparation,21600387,78678
C02AA05,DESERPIDINE,1387219,deserpidine,21600388,62174
C02AB01,METHYLDOPA (LEVOROTATORY),1305447,Methyldopa,21600395,6876
C02AB01,METHYLDOPA (LEVOROTATORY),1305496,Methyldopate,21600395,6877
C02AC,IMIDAZOLINE RECEPTOR AGONISTS,1366237,Guanabenz,21600397,5033
C02AC01,CLONIDINE,1398937,Clonidine,21600398,2599
C02AC02,GUANFACINE,1344965,Guanfacine,21600399,40114
C02BA01,TRIMETAPHAN,19005658,Trimethaphan,21600405,10828
C02BB01,MECAMYLAMINE,1394333,Mecamylamine,21600407,6673
C02CA01,PRAZOSIN,1350489,Prazosin,21600411,8629
C02CA04,DOXAZOSIN,1363053,Doxazosin,21600414,49276
C02CC,GUANIDINE DERIVATIVES,1400959,guanadrel,21600416,26296
C02CC02,GUANETHIDINE,1366279,Guanethidine,21600418,5036
C02DA01,DIAZOXIDE,1523280,Diazoxide,21600426,3327
C02DB02,HYDRALAZINE,1373928,Hydralazine,21600429,5470
C02DC01,MINOXIDIL,1309068,Minoxidil,21600433,6984
C02DD01,NITROPRUSSIDE,19020994,Nitroprusside,21600435,7476
C02KB01,METIROSINE,1401581,Metyrosine,21600442,266604
C02KC01,PARGYLINE,19027413,Pargyline,21600444,7930
C02KX,OTHER ANTIHYPERTENSIVES,1316262,sildenafil,21600447,136411
C02KX01,BOSENTAN,1321636,bosentan,21600448,75207
C02KX02,AMBRISENTAN,1337068,ambrisentan,21600449,358274
C02LA01,RESERPINE AND DIURETICS,904639,Trichlormethiazide,21600453,10772
C02LA01,RESERPINE AND DIURETICS,905273,Methyclothiazide,21600453,6860
C02LA01,RESERPINE AND DIURETICS,948787,Polythiazide,21600453,8565
C02LA01,RESERPINE AND DIURETICS,974166,Hydrochlorothiazide,21600453,5487
C02LA01,RESERPINE AND DIURETICS,992590,Chlorothiazide,21600453,2396
C02LA01,RESERPINE AND DIURETICS,1362225,Reserpine,21600453,9260
C02LA01,RESERPINE AND DIURETICS,1373928,Hydralazine,21600453,5470
C02LA01,RESERPINE AND DIURETICS,1376289,Hydroflumethiazide,21600453,5495
C02LA01,RESERPINE AND DIURETICS,1395058,Chlorthalidone,21600453,2409
C02LA01,RESERPINE AND DIURETICS,19036731,benzothiazide,21600453,19008
C02LA03,DESERPIDINE AND DIURETICS,905273,Methyclothiazide,21600455,6860
C02LA03,DESERPIDINE AND DIURETICS,974166,Hydrochlorothiazide,21600455,5487
C02LA03,DESERPIDINE AND DIURETICS,1387219,deserpidine,21600455,62174
C02LA08,"RAUWOLFIA ALKALOIDS, WHOLE ROOT AND DIURETICS",1316354,Bendroflumethiazide,21600458,1369
C02LA08,"RAUWOLFIA ALKALOIDS, WHOLE ROOT AND DIURETICS",1326378,Rauwolfia preparation,21600458,78678
C02LB01,METHYLDOPA (LEVOROTATORY) AND DIURETICS,974166,Hydrochlorothiazide,21600465,5487
C02LB01,METHYLDOPA (LEVOROTATORY) AND DIURETICS,992590,Chlorothiazide,21600465,2396
C02LB01,METHYLDOPA (LEVOROTATORY) AND DIURETICS,1305447,Methyldopa,21600465,6876
C02LC01,CLONIDINE AND DIURETICS,1395058,Chlorthalidone,21600467,2409
C02LC01,CLONIDINE AND DIURETICS,1398937,Clonidine,21600467,2599
C02LE01,PRAZOSIN AND DIURETICS,948787,Polythiazide,21600471,8565
C02LE01,PRAZOSIN AND DIURETICS,1350489,Prazosin,21600471,8629
C02LF01,GUANETHIDINE AND DIURETICS,974166,Hydrochlorothiazide,21600473,5487
C02LF01,GUANETHIDINE AND DIURETICS,1366279,Guanethidine,21600473,5036
C02LG02,HYDRALAZINE AND DIURETICS,974166,Hydrochlorothiazide,21600476,5487
C02LG02,HYDRALAZINE AND DIURETICS,1373928,Hydralazine,21600476,5470
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,734275,Phenobarbital,21600481,8134
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,914335,Atropine,21600481,1223
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,923672,Hyoscyamine,21600481,153970
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,965748,Scopolamine,21600481,9601
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,966991,Simethicone,21600481,9796
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,1116109,Belladonna Alkaloids,21600481,1359
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,1123904,phenyltoloxamine,21600481,33408
A03ED,ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS,1145379,Ergotamine,21600481,4025
A03FA01,METOCLOPRAMIDE,906780,Metoclopramide,21600484,6915
A03FA02,CISAPRIDE,932196,Cisapride,21600485,35255
A04AA01,ONDANSETRON,1000560,Ondansetron,21600493,26225
A04AA02,GRANISETRON,1000772,Granisetron,21600494,26237
A04AA04,DOLASETRON,903459,Dolasetron,21600496,68091
A04AA05,PALONOSETRON,911354,palonosetron,21600497,70561
A04AD,OTHER ANTIEMETICS,917006,Benzocaine,21600498,1399
A04AD,OTHER ANTIEMETICS,942799,trimethobenzamide,21600498,38685
A04AD,OTHER ANTIEMETICS,19089992,diphenidol,21600498,23370
A04AD01,SCOPOLAMINE,965748,Scopolamine,21600499,9601
A04AD10,DRONABINOL,1037005,Tetrahydrocannabinol,21600503,10402
A04AD11,NABILONE,913440,nabilone,21600504,31447
A04AD12,APREPITANT,936748,aprepitant,21600505,358255
A05AA01,CHENODEOXYCHOLIC ACID,19052447,Chenodeoxycholate,21600512,42588
A05AA02,URSODEOXYCHOLIC ACID,988095,Ursodeoxycholate,21600513,62427
A05AB,PREPARATIONS FOR BILIARY TRACT THERAPY,19052817,Dehydrocholate,21600515,42625
A05BA,LIVER THERAPY,19042345,Lecithin,21600522,8214
A06AA,"SOFTENERS, EMOLLIENTS",941258,Docusate,21600533,82003
A06AA01,LIQUID PARAFFIN,908523,Mineral Oil,21600534,6972
A06AA02,DOCUSATE SODIUM,941258,Docusate,21600535,82003
A06AB02,BISACODYL,908464,magnesium carbonate,21600539,29155
A06AB02,BISACODYL,924939,Bisacodyl,21600539,1596
A06AB02,BISACODYL,939506,Sodium Bicarbonate,21600539,36676
A06AB02,BISACODYL,939871,sodium phosphate,21600539,36709
A06AB02,BISACODYL,950435,Citric Acid,21600539,21183
A06AB02,BISACODYL,967823,Sodium Chloride,21600539,9863
A06AB02,BISACODYL,976545,potassium citrate,21600539,54993
A06AB02,BISACODYL,986417,POLYETHYLENE GLYCOL 3350,21600539,221147
A06AB02,BISACODYL,990499,"Sodium Phosphate, Monobasic",21600539,235496
A06AB02,BISACODYL,19049105,Potassium Chloride,21600539,8591
A06AB03,DANTRON,19086560,danthron,21600540,22293
A06AB04,PHENOLPHTHALEIN,914085,Yellow phenolphthalein,21600541,314784
A06AB04,PHENOLPHTHALEIN,924309,Phenolphthalein,21600541,155122
A06AB04,PHENOLPHTHALEIN,941258,Docusate,21600541,82003
A06AB05,CASTOR OIL,950933,Castor Oil,21600542,2129
A06AB06,SENNA GLYCOSIDES,938268,Sennosides,21600543,36387
A06AB06,SENNA GLYCOSIDES,960820,Senna Leaf Extract,21600543,485853
A06AB06,SENNA GLYCOSIDES,966346,Senna Extract,21600543,9658
A06AB06,SENNA GLYCOSIDES,19086491,standardized senna concentrate,21600543,221166
A06AB07,CASCARA,900017,Cascara sagrada,21600544,66869
A06AB53,"DANTRON, COMBINATIONS",941258,Docusate,21600550,82003
A06AB53,"DANTRON, COMBINATIONS",19086560,danthron,21600550,22293
A06AB56,"SENNA GLYCOSIDES, COMBINATIONS",938268,Sennosides,21600551,36387
A06AB56,"SENNA GLYCOSIDES, COMBINATIONS",941258,Docusate,21600551,82003
A06AB56,"SENNA GLYCOSIDES, COMBINATIONS",966346,Senna Extract,21600551,9658
A06AB56,"SENNA GLYCOSIDES, COMBINATIONS",19094011,Prune preparation,21600551,340262
A06AB57,"CASCARA, COMBINATIONS",900017,Cascara sagrada,21600552,66869
A06AB57,"CASCARA, COMBINATIONS",900093,Casanthranol,21600552,66870
A06AB57,"CASCARA, COMBINATIONS",941258,Docusate,21600552,82003
A06AB57,"CASCARA, COMBINATIONS",960900,Aloe Extract,21600552,91263
A06AC,BULK PRODUCERS,986517,Cellulose,21600554,2221
A06AC,BULK PRODUCERS,990337,Malt extract,21600554,235375
A06AC,BULK PRODUCERS,1000979,guar gum,21600554,26344
A06AC,BULK PRODUCERS,1037015,Bran,21600554,104125
A06AC01,ISPAGHULA (PSYLLA SEEDS),957797,Psyllium,21600555,8928
A06AC01,ISPAGHULA (PSYLLA SEEDS),975125,Hydrocortisone,21600555,5492
A06AC01,ISPAGHULA (PSYLLA SEEDS),989878,Lidocaine,21600555,6387
A06AC01,ISPAGHULA (PSYLLA SEEDS),19132965,Plantago Seed,21600555,82088
A06AC05,LINSEED,1315342,Flaxseed extract,21600558,318224
A06AC05,LINSEED,19090767,Linseed Oil,21600558,6404
A06AC06,METHYLCELLULOSE,905371,Methylcellulose,21600559,6873
A06AC08,POLYCARBOPHIL CALCIUM,940426,calcium polycarbophil,21600561,20063
A06AC51,"ISPAGHULA, COMBINATIONS",938268,Sennosides,21600562,36387
A06AC51,"ISPAGHULA, COMBINATIONS",957797,Psyllium,21600562,8928
A06AC51,"ISPAGHULA, COMBINATIONS",19035704,Calcium Carbonate,21600562,1897
A06AD02,MAGNESIUM OXIDE,993631,Magnesium Oxide,21600567,6582
A06AD04,MAGNESIUM SULFATE,19093848,Magnesium Sulfate,21600569,6585
A06AD11,LACTULOSE,987245,Lactulose,21600571,6218
A06AD17,SODIUM PHOSPHATE,990499,"Sodium Phosphate, Monobasic",21600577,235496
A06AD17,SODIUM PHOSPHATE,991710,"Sodium Phosphate, Dibasic",21600577,236719
A06AG01,SODIUM PHOSPHATE,990499,"Sodium Phosphate, Monobasic",21600584,235496
A06AG01,SODIUM PHOSPHATE,991710,"Sodium Phosphate, Dibasic",21600584,236719
A06AG02,BISACODYL,924939,Bisacodyl,21600585,1596
A06AG04,GLYCEROL,961145,Glycerin,21600587,4910
A06AG10,"DOCUSATE SODIUM, INCL. COMBINATIONS",917006,Benzocaine,21600590,1399
A06AG10,"DOCUSATE SODIUM, INCL. COMBINATIONS",941258,Docusate,21600590,82003
A06AH01,METHYLNALTREXONE BROMIDE,909841,methylnaltrexone,21600594,29899
A06AH02,ALVIMOPAN,19059654,alvimopan,21600595,480639
A06AX01,GLYCEROL,961145,Glycerin,21600597,4910
A06AX03,LUBIPROSTONE,987366,lubiprostone,21600599,623033
A07AA02,NYSTATIN,922570,Nystatin,21600604,7597
A07AA06,PAROMOMYCIN,1727443,Paromomycin,21600608,7934
A07AA08,KANAMYCIN,1784749,Kanamycin,21600610,6099
A07AA09,VANCOMYCIN,1707687,Vancomycin,21600611,11124
A07AA11,RIFAXIMIN,1735947,rifaximin,21600613,35619
A07BA01,MEDICINAL CHARCOAL,1701928,Activated Charcoal,21600629,272
A07BA51,"MEDICINAL CHARCOAL, COMBINATIONS",966991,Simethicone,21600630,9796
A07BA51,"MEDICINAL CHARCOAL, COMBINATIONS",1701928,Activated Charcoal,21600630,272
A07BB,BISMUTH PREPARATIONS,937725,bismuth subgallate,21600631,19476
A07BB,BISMUTH PREPARATIONS,937791,bismuth subsalicylate,21600631,19478
A07BB,BISMUTH PREPARATIONS,1707164,Metronidazole,21600631,6922
A07BB,BISMUTH PREPARATIONS,1836948,Tetracycline,21600631,10395
A07BC01,PECTIN,922191,pectin,21600633,32987
A07BC04,ATTAPULGITE,933794,attapulgite,21600636,18516
A07BC54,"ATTAPULGITE, COMBINATIONS",922191,pectin,21600639,32987
A07BC54,"ATTAPULGITE, COMBINATIONS",933794,attapulgite,21600639,18516
A07DA,ANTIPROPULSIVES,914335,Atropine,21600643,1223
A07DA,ANTIPROPULSIVES,922024,paregoric,21600643,32926
A07DA,ANTIPROPULSIVES,989567,difenoxin,21600643,23024
A07DA01,DIPHENOXYLATE,914335,Atropine,21600644,1223
A07DA01,DIPHENOXYLATE,930916,Diphenoxylate,21600644,3500
A07DA02,OPIUM,923829,Opium,21600645,7676
A07DA02,OPIUM,1116109,Belladonna Alkaloids,21600645,1359
A07DA03,LOPERAMIDE,991876,Loperamide,21600646,6468
A07DA53,"LOPERAMIDE, COMBINATIONS",966991,Simethicone,21600650,9796
A07DA53,"LOPERAMIDE, COMBINATIONS",991876,Loperamide,21600650,6468
A07EA02,HYDROCORTISONE,975125,Hydrocortisone,21600654,5492
A07EA06,BUDESONIDE,939259,Budesonide,21600658,19831
A07EB01,CROMOGLICIC ACID,1152631,Cromolyn,21600661,42612
A07EC01,SULFASALAZINE,964339,Sulfasalazine,21600663,9524
A07EC02,MESALAZINE,968426,mesalamine,21600664,52582
A07EC03,OLSALAZINE,916282,olsalazine,21600665,32385
A07EC04,BALSALAZIDE,934262,balsalazide,21600666,18747
A07FA01,LACTIC ACID PRODUCING ORGANISMS,987153,Lactobacillus acidophilus,21600669,6205
A07FA01,LACTIC ACID PRODUCING ORGANISMS,19136097,Bifidobacterium Infantis,21600669,100213
A07FA02,SACCHAROMYCES BOULARDII,991855,Saccharomyces boulardii,21600670,236782
A07FA51,"LACTIC ACID PRODUCING ORGANISMS, COMBINATIONS",987153,Lactobacillus acidophilus,21600671,6205
A07FA51,"LACTIC ACID PRODUCING ORGANISMS, COMBINATIONS",19056614,Lactobacillus bifidus,21600671,236855
A08AA,CENTRALLY ACTING ANTIOBESITY PRODUCTS,719128,Benzphetamine,21600681,1422
A08AA,CENTRALLY ACTING ANTIOBESITY PRODUCTS,723344,phendimetrazine,21600681,33272
A08AA01,PHENTERMINE,735340,Phentermine,21600682,8152
A08AA02,FENFLURAMINE,753860,Fenfluramine,21600683,4328
A08AA03,AMFEPRAMONE,725822,Diethylpropion,21600684,3389
A08AA04,DEXFENFLURAMINE,719057,Dexfenfluramine,21600685,3268
A08AA05,MAZINDOL,794229,Mazindol,21600686,6664
A08AA10,SIBUTRAMINE,739363,sibutramine,21600691,36514
