PROC_COD,TYPE_OUTPAT
90.48.5,LAB
90.49.1,LAB
90.49.2,LAB
90.49.3,LAB
90.49.4,LAB
90.49.5,LAB
90.49.6,LAB
89.65.1,LAB
89.66,LAB
90.01.1,LAB
90.01.2,LAB
90.01.3,LAB
90.01.4,LAB
90.01.5,LAB
90.02.1,LAB
90.02.2,LAB
90.02.3,LAB
90.02.4,LAB
90.02.5,LAB
90.03.1,LAB
90.03.2,LAB
90.03.3,LAB
90.03.4,LAB
90.03.5,LAB
90.04.1,LAB
90.04.2,LAB
90.04.3,LAB
90.04.4,LAB
90.04.5,LAB
90.05.1,LAB
90.05.2,LAB
90.05.3,LAB
90.05.4,LAB
90.05.5,LAB
90.06.1,LAB
90.06.2,LAB
90.06.3,LAB
90.06.4,LAB
90.06.5,LAB
90.06.7,LAB
90.07.1,LAB
90.07.2,LAB
90.07.3,LAB
90.07.4,LAB
90.07.5,LAB
90.07.6,LAB
90.08.1,LAB
90.08.2,LAB
90.08.3,LAB
90.08.4,LAB
90.08.5,LAB
90.08.6,LAB
90.09.1,LAB
90.09.2,LAB
90.09.3,LAB
90.09.4,LAB
90.09.5,LAB
90.10.1,LAB
90.10.2,LAB
90.10.3,LAB
90.10.4,LAB
90.10.5,LAB
90.10.6,LAB
90.11.1,LAB
90.11.2,LAB
90.11.3,LAB
90.11.4,LAB
90.11.5,LAB
90.11.6,LAB
90.12.1,LAB
90.12.2,LAB
90.12.3,LAB
90.12.4,LAB
90.12.5,LAB
90.13.1,LAB
90.13.2,LAB
90.86.3,LAB
90.86.4,LAB
90.86.8,LAB
90.87.1,LAB
90.87.3,LAB
90.88.5,LAB
90.88.6,LAB
90.89.3,LAB
90.89.5,LAB
90.90.3,LAB
90.91.4,LAB
90.92.4,LAB
90.93.3,LAB
90.93.4,LAB
90.93.5,LAB
90.93.6,LAB
90.94.1,LAB
90.94.2,LAB
90.94.3,LAB
90.94.5,LAB
90.94.6,LAB
90.95.1,LAB
90.95.3,LAB
90.96.5,LAB
90.97.2,LAB
90.97.3,LAB
90.98.4,LAB
90.98.5,LAB
91.01.1,LAB
91.01.2,LAB
91.02.2,LAB
91.02.4,LAB
91.03.5,LAB
91.04.1,LAB
91.04.5,LAB
91.05.2,LAB
91.05.6,LAB
91.05.7,LAB
91.05.8,LAB
91.05.9,LAB
91.06.7,LAB
91.06.8,LAB
91.08.1,LAB
91.08.4,LAB
91.08.5,LAB
91.09.1,LAB
91.09.2,LAB
91.09.3,LAB
91.10.3,LAB
91.10.6,LAB
91.11.1,LAB
91.11.2,LAB
91.11.3,LAB
91.11.5,LAB
91.12.1,LAB
91.12.2,LAB
91.13.2,LAB
91.13.3,LAB
91.13.7,LAB
91.14.5,LAB
91.14.6,LAB
91.14.7,LAB
91.14.8,LAB
91.14.9,LAB
91.15.6,LAB
91.15.7,LAB
91.15.8,LAB
91.15.9,LAB
91.16.6,LAB
91.16.7,LAB
69.92.1,LAB
90.49.7,LAB
90.50.1,LAB
90.50.2,LAB
90.50.3,LAB
90.50.4,LAB
90.50.5,LAB
90.51.1,LAB
90.51.2,LAB
90.51.3,LAB
90.51.4,LAB
90.51.5,LAB
90.52.1,LAB
90.52.2,LAB
90.52.3,LAB
90.52.4,LAB
90.52.5,LAB
90.53.1,LAB
90.53.2,LAB
90.53.3,LAB
90.53.4,LAB
90.53.5,LAB
90.53.6,LAB
90.54.1,LAB
90.54.2,LAB
90.54.3,LAB
90.54.4,LAB
90.54.5,LAB
90.55.1,LAB
90.55.2,LAB
90.55.3,LAB
90.55.4,LAB
90.55.5,LAB
90.56.1,LAB
90.56.2,LAB
90.56.3,LAB
90.56.4,LAB
90.56.5,LAB
90.57.1,LAB
90.57.2,LAB
90.57.3,LAB
90.57.4,LAB
90.57.5,LAB
90.57.6,LAB
90.58.1,LAB
90.58.2,LAB
90.58.3,LAB
90.58.4,LAB
90.58.5,LAB
90.59.1,LAB
90.59.2,LAB
90.59.3,LAB
90.59.4,LAB
90.60.1,LAB
90.60.2,LAB
90.60.3,LAB
90.60.4,LAB
90.60.5,LAB
90.61.1,LAB
90.61.2,LAB
90.61.3,LAB
90.61.4,LAB
90.61.5,LAB
90.62.1,LAB
90.62.2,LAB
90.62.3,LAB
90.62.4,LAB
90.62.5,LAB
90.63.1,LAB
90.63.2,LAB
90.63.3,LAB
90.63.4,LAB
90.63.5,LAB
90.64.1,LAB
90.64.2,LAB
90.64.3,LAB
90.64.4,LAB
90.64.5,LAB
90.65.1,LAB
90.65.2,LAB
90.65.3,LAB
90.65.4,LAB
90.66.1,LAB
90.66.2,LAB
90.66.3,LAB
90.66.4,LAB
90.66.5,LAB
90.67.1,LAB
90.67.2,LAB
90.67.3,LAB
90.67.4,LAB
90.67.5,LAB
90.67.6,LAB
90.68.1,LAB
90.13.3,LAB
90.13.4,LAB
90.13.5,LAB
90.14.1,LAB
90.14.2,LAB
90.14.3,LAB
90.14.4,LAB
90.14.5,LAB
90.15.1,LAB
90.15.2,LAB
90.15.3,LAB
90.15.4,LAB
90.15.5,LAB
90.15.6,LAB
90.16.1,LAB
90.16.2,LAB
90.16.3,LAB
90.16.4,LAB
90.16.5,LAB
90.17.1,LAB
90.17.2,LAB
90.17.3,LAB
90.17.4,LAB
90.17.5,LAB
90.17.6,LAB
90.18.1,LAB
90.18.2,LAB
90.18.3,LAB
90.18.4,LAB
90.18.5,LAB
90.18.6,LAB
90.18.7,LAB
90.18.8,LAB
90.19.1,LAB
90.19.2,LAB
90.19.3,LAB
90.19.4,LAB
90.19.5,LAB
90.20.1,LAB
90.20.2,LAB
90.20.3,LAB
90.20.4,LAB
90.20.5,LAB
90.21.1,LAB
90.21.2,LAB
90.21.3,LAB
90.21.4,LAB
90.21.5,LAB
90.21.6,LAB
90.21.7,LAB
90.22.1,LAB
90.22.2,LAB
90.22.3,LAB
90.22.4,LAB
90.22.5,LAB
90.23.1,LAB
90.23.2,LAB
90.23.3,LAB
90.23.4,LAB
90.23.5,LAB
90.24.1,LAB
90.24.2,LAB
90.24.3,LAB
90.24.4,LAB
90.24.5,LAB
90.25.1,LAB
90.25.2,LAB
90.25.3,LAB
90.25.4,LAB
90.25.5,LAB
90.26.1,LAB
90.26.2,LAB
90.26.3,LAB
90.26.4,LAB
90.27.1,LAB
90.27.2,LAB
90.27.3,LAB
90.27.4,LAB
90.27.5,LAB
90.28.1,LAB
90.28.2,LAB
90.28.3,LAB
90.28.4,LAB
90.28.5,LAB
90.29.1,LAB
90.29.2,LAB
90.29.3,LAB
90.29.4,LAB
90.29.5,LAB
90.29.6,LAB
90.30.1,LAB
90.30.2,LAB
90.30.3,LAB
90.30.4,LAB
90.30.5,LAB
90.31.1,LAB
90.31.2,LAB
90.31.3,LAB
90.31.4,LAB
90.31.5,LAB
90.32.1,LAB
90.32.2,LAB
90.32.3,LAB
90.32.4,LAB
90.32.5,LAB
90.33.1,LAB
90.33.2,LAB
90.33.3,LAB
90.33.4,LAB
91.16.8,LAB
91.16.9,LAB
91.17.1,LAB
91.17.2,LAB
91.17.3,LAB
91.17.4,LAB
91.17.5,LAB
91.18.1,LAB
91.18.2,LAB
91.18.3,LAB
91.19.2,LAB
91.19.3,LAB
91.19.4,LAB
91.19.5,LAB
91.20.1,LAB
91.20.2,LAB
91.20.3,LAB
91.20.4,LAB
91.20.5,LAB
91.21.3,LAB
91.21.4,LAB
91.22.1,LAB
91.22.2,LAB
91.22.3,LAB
91.22.4,LAB
91.22.5,LAB
91.22.6,LAB
91.23.1,LAB
91.23.2,LAB
91.23.3,LAB
91.23.4,LAB
91.23.5,LAB
91.24.1,LAB
91.24.2,LAB
91.26.3,LAB
91.27.5,LAB
91.27.6,LAB
91.27.7,LAB
91.28.1,LAB
91.28.2,LAB
91.28.3,LAB
91.28.4,LAB
91.28.5,LAB
91.29.1,LAB
91.29.2,LAB
91.29.3,LAB
90.68.2,LAB
90.68.3,LAB
90.68.4,LAB
90.68.5,LAB
90.68.6,LAB
90.68.7,LAB
90.68.8,LAB
90.69.1,LAB
90.69.2,LAB
90.69.3,LAB
90.69.4,LAB
90.69.5,LAB
90.70.1,LAB
90.70.2,LAB
90.70.4,LAB
90.70.5,LAB
90.71.1,LAB
90.71.2,LAB
90.71.3,LAB
90.71.4,LAB
90.71.5,LAB
90.72.1,LAB
90.72.2,LAB
90.72.3,LAB
90.72.4,LAB
90.72.5,LAB
90.73.1,LAB
90.73.2,LAB
90.73.3,LAB
90.73.4,LAB
90.73.5,LAB
90.74.1,LAB
90.74.2,LAB
90.74.3,LAB
90.74.4,LAB
90.74.5,LAB
90.75.1,LAB
90.75.2,LAB
90.75.3,LAB
90.75.4,LAB
90.75.5,LAB
90.76.1,LAB
90.76.2,LAB
90.76.3,LAB
90.76.4,LAB
90.76.5,LAB
90.76.6,LAB
90.77.1,LAB
90.77.2,LAB
90.77.3,LAB
90.77.4,LAB
90.77.5,LAB
90.78.2,LAB
90.78.3,LAB
90.78.4,LAB
90.78.5,LAB
90.78.6,LAB
90.79.1,LAB
90.79.2,LAB
90.79.3,LAB
90.79.4,LAB
90.79.5,LAB
90.80.1,LAB
90.80.2,LAB
90.80.3,LAB
90.80.4,LAB
90.80.5,LAB
90.33.5,LAB
90.33.6,LAB
90.34.1,LAB
90.34.2,LAB
90.34.3,LAB
90.34.4,LAB
90.34.5,LAB
90.35.1,LAB
90.35.2,LAB
90.35.3,LAB
90.35.4,LAB
90.35.5,LAB
90.36.1,LAB
90.36.2,LAB
90.36.3,LAB
90.36.4,LAB
90.36.5,LAB
90.36.6,LAB
90.37.1,LAB
90.37.2,LAB
90.37.3,LAB
90.37.4,LAB
90.37.5,LAB
90.38.1,LAB
90.38.2,LAB
90.38.3,LAB
90.38.4,LAB
90.38.5,LAB
90.39.1,LAB
90.39.2,LAB
90.39.3,LAB
90.39.4,LAB
90.39.5,LAB
90.40.1,LAB
90.40.2,LAB
90.40.3,LAB
90.40.4,LAB
90.40.5,LAB
90.40.6,LAB
90.40.7,LAB
90.41.1,LAB
90.41.2,LAB
90.41.3,LAB
90.41.4,LAB
90.41.5,LAB
90.41.6,LAB
90.42.1,LAB
90.42.2,LAB
90.42.3,LAB
90.42.4,LAB
90.42.5,LAB
90.42.6,LAB
90.43.1,LAB
90.43.2,LAB
90.43.3,LAB
90.43.4,LAB
90.43.5,LAB
90.43.6,LAB
90.44.1,LAB
90.44.2,LAB
90.44.3,LAB
90.44.4,LAB
90.44.5,LAB
90.45.1,LAB
90.45.2,LAB
90.45.3,LAB
90.45.4,LAB
90.45.5,LAB
90.46.3,LAB
90.46.4,LAB
90.46.5,LAB
90.47.1,LAB
90.47.2,LAB
90.47.3,LAB
90.81.1,LAB
90.81.2,LAB
90.81.3,LAB
90.81.4,LAB
90.81.5,LAB
90.82.1,LAB
90.82.2,LAB
90.82.3,LAB
90.82.4,LAB
90.82.5,LAB
90.83.1,LAB
90.83.2,LAB
90.83.4,LAB
90.83.5,LAB
90.84.1,LAB
90.84.3,LAB
90.85.2,LAB
90.85.4,LAB
90.85.5,LAB
90.85.6,LAB
90.85.7,LAB
90.85.8,LAB
90.86.2,LAB
91.29.4,LAB
91.29.5,LAB
91.30.1,LAB
91.30.2,LAB
91.30.3,LAB
91.30.4,LAB
91.30.5,LAB
91.31.1,LAB
91.31.2,LAB
91.31.3,LAB
91.31.4,LAB
91.31.5,LAB
91.32.1,LAB
91.32.2,LAB
91.32.3,LAB
91.32.4,LAB
91.32.5,LAB
91.33.1,LAB
91.33.2,LAB
91.33.3,LAB
91.33.4,LAB
91.33.5,LAB
91.34.1,LAB
91.34.2,LAB
91.34.3,LAB
91.34.4,LAB
91.34.5,LAB
91.35.1,LAB
91.35.2,LAB
91.35.3,LAB
91.35.4,LAB
91.35.5,LAB
91.36.1,LAB
91.36.2,LAB
91.36.3,LAB
91.36.4,LAB
91.36.5,LAB
91.37.1,LAB
91.37.2,LAB
91.37.3,LAB
91.37.4,LAB
91.37.5,LAB
91.38.1,LAB
91.38.2,LAB
91.38.3,LAB
91.38.4,LAB
91.38.5,LAB
91.39.1,LAB
91.39.2,LAB
91.39.3,LAB
91.39.4,LAB
91.39.5,LAB
91.40.1,LAB
91.40.2,LAB
91.40.3,LAB
91.40.4,LAB
91.40.5,LAB
91.41.1,LAB
91.41.2,LAB
91.41.3,LAB
91.41.4,LAB
91.41.5,LAB
91.42.1,LAB
91.42.2,LAB
91.42.3,LAB
91.42.4,LAB
91.42.5,LAB
91.43.1,LAB
91.43.2,LAB
91.43.3,LAB
91.43.4,LAB
91.43.5,LAB
91.44.1,LAB
91.44.2,LAB
91.44.3,LAB
91.44.4,LAB
91.44.5,LAB
91.45.1,LAB
91.45.2,LAB
91.45.3,LAB
91.45.4,LAB
91.45.5,LAB
91.46.1,LAB
91.46.2,LAB
91.46.3,LAB
91.46.4,LAB
91.46.5,LAB
91.47.1,LAB
91.47.2,LAB
91.47.3,LAB
91.47.4,LAB
91.47.5,LAB
91.48.1,LAB
91.48.2,LAB
91.48.3,LAB
91.48.4,LAB
91.48.5,LAB
91.49.1,LAB
91.49.2,LAB
91.49.3,LAB
91.50.1,LAB
91.50.2,LAB
91.50.3,LAB
91.50.4,LAB
91.50.5,LAB
91.50.6,LAB
91.50.7,LAB
91.50.8,LAB
91.50.9,LAB
91.51.1,LAB
91.51.2,LAB
91.51.3,LAB
91.51.4,LAB
91.51.5,LAB
91.51.6,LAB
91.51.7,LAB
91.51.8,LAB
91.51.9,LAB
91.52.1,LAB
91.52.2,LAB
91.52.3,LAB
91.52.4,LAB
91.52.5,LAB
91.52.6,LAB
91.52.7,LAB
91.52.8,LAB
91.52.9,LAB
91.53.1,LAB
91.53.2,LAB
91.53.3,LAB
91.53.4,LAB
91.53.5,LAB
91.53.6,LAB
91.53.7,LAB
91.53.8,LAB
91.53.9,LAB
91.54.1,LAB
91.54.2,LAB
91.54.3,LAB
91.54.4,LAB
91.54.5,LAB
99.88,LAB
89.15.2,INSTR
89.15.3,INSTR
89.15.4,INSTR
89.15.5,INSTR
89.15.6,INSTR
89.15.7,INSTR
89.15.8,INSTR
89.15.9,INSTR
89.17,INSTR
89.18.1,INSTR
89.18.2,INSTR
89.19.1,INSTR
89.19.2,INSTR
89.22,INSTR
89.24,INSTR
89.25,INSTR
89.32,INSTR
89.32.1,INSTR
89.37.1,INSTR
89.37.2,INSTR
89.37.3,INSTR
89.37.4,INSTR
89.37.5,INSTR
89.37.6,INSTR
89.38.1,INSTR
89.38.2,INSTR
89.38.3,INSTR
89.38.4,INSTR
89.38.5,INSTR
89.38.6,INSTR
89.38.7,INSTR
45.24.1,INSTR
45.25,INSTR
45.25.1,INSTR
45.29.4,INSTR
45.42,INSTR
45.42.1,INSTR
45.43.1,INSTR
46.85,INSTR
48.23,INSTR
48.24,INSTR
48.29.1,INSTR
48.35,INSTR
43.41.1,INSTR
43.41.2,INSTR
44.19.1,INSTR
45.13,INSTR
45.16,INSTR
45.23,INSTR
45.23.1,INSTR
45.23.2,INSTR
45.23.3,INSTR
45.24,INSTR
89.38.8,INSTR
89.38.9,INSTR
89.39.5,INSTR
89.41,INSTR
89.42,INSTR
89.43,INSTR
89.44,INSTR
89.44.1,INSTR
89.44.2,INSTR
89.48.1,INSTR
89.5,INSTR
89.52,INSTR
89.54,INSTR
89.59.1,INSTR
89.61.1,INSTR
89.65.2,INSTR
89.65.3,INSTR
89.65.4,INSTR
89.65.5,INSTR
89.65.6,INSTR
75.34.1,INSTR
68.12.1,INSTR
31.42,INSTR
31.42.1,INSTR
31.42.2,INSTR
31.43,INSTR
31.48.1,INSTR
31.48.2,INSTR
33.22,INSTR
33.24,INSTR
49.21,INSTR
49.31,INSTR
56.31,INSTR
57.32,INSTR
57.33,INSTR
57.39.1,INSTR
57.39.2,INSTR
58.22,INSTR
64.19.1,INSTR
88.72.1,INSTR
88.72.2,INSTR
88.72.3,INSTR
88.72.4,INSTR
88.72.5,INSTR
88.79.4,INSTR
89.11,INSTR
89.12,INSTR
89.14,INSTR
89.14.1,INSTR
89.14.2,INSTR
89.14.3,INSTR
89.14.4,INSTR
89.14.5,INSTR
89.15.1,INSTR
98.03,INSTR
98.05,INSTR
98.15,INSTR
98.18,INSTR
20.31,INSTR
20.39.1,INSTR
95.13.2,INSTR
95.14,INSTR
95.15,INSTR
95.17,INSTR
95.2,INSTR
95.21,INSTR
95.22,INSTR
95.23,INSTR
95.23.1,INSTR
95.24.1,INSTR
95.24.2,INSTR
95.25,INSTR
95.26,INSTR
95.35,INSTR
95.41.1,INSTR
95.41.2,INSTR
95.41.3,INSTR
95.41.4,INSTR
95.42,INSTR
95.43,INSTR
95.44.1,INSTR
95.44.2,INSTR
95.45,INSTR
95.46,INSTR
95.47,INSTR
95.48.1,INSTR
95.48.2,INSTR
95.48.3,INSTR
95.48.4,INSTR
95.49,INSTR
9.19,INSTR
95.03.1,INSTR
95.05,INSTR
95.06,INSTR
95.07,INSTR
95.07.1,INSTR
95.09.1,INSTR
95.09.2,INSTR
95.09.3,INSTR
95.11,INSTR
95.11.1,INSTR
95.12,INSTR
95.12.1,INSTR
95.13,INSTR
95.13.1,INSTR
93.02,INSTR
93.08.1,INSTR
93.08.2,INSTR
93.08.3,INSTR
93.08.4,INSTR
93.08.5,INSTR
93.08.6,INSTR
93.08.7,INSTR
93.08.8,INSTR
93.09.1,INSTR
93.09.2,INSTR
42.29.2,INSTR
42.33.2,INSTR
92.27.5,PROC
92.28.1,PROC
92.28.2,PROC
92.28.3,PROC
92.28.4,PROC
92.28.5,PROC
92.28.6,PROC
92.29.1,PROC
92.29.2,PROC
92.29.3,PROC
92.29.4,PROC
92.29.5,PROC
92.29.6,PROC
92.29.7,PROC
92.29.8,PROC
99.79.2,PROC
99.85,PROC
99.91,PROC
99.94,PROC
99.95,PROC
99.97.1,PROC
99.97.2,PROC
24.70.1,PROC
97.82,PROC
98.01,PROC
98.11,PROC
98.12,PROC
98.13,PROC
98.14,PROC
98.16,PROC
98.17,PROC
98.19,PROC
98.2,PROC
98.21,PROC
98.22,PROC
98.23,PROC
98.24,PROC
98.25,PROC
98.26,PROC
98.27,PROC
98.28,PROC
98.29,PROC
98.5,PROC
99.06.1,PROC
99.07.1,PROC
99.14.1,PROC
99.23,PROC
99.24.1,PROC
99.24.2,PROC
99.25,PROC
99.29.1,PROC
99.29.2,PROC
99.29.3,PROC
99.29.4,PROC
99.29.5,PROC
99.29.6,PROC
99.29.8,PROC
99.29.9,PROC
99.71,PROC
99.72,PROC
99.73,PROC
99.73.1,PROC
99.74,PROC
99.79.1,PROC
92.11.3,PROC
92.11.4,PROC
92.21.1,PROC
92.23.1,PROC
92.23.2,PROC
92.23.3,PROC
92.24.1,PROC
92.24.2,PROC
92.24.3,PROC
92.24.4,PROC
92.24.5,PROC
92.24.6,PROC
92.25.1,PROC
92.25.2,PROC
92.27.1,PROC
92.27.2,PROC
92.27.3,PROC
92.27.4,PROC
15,PROC
15.1,PROC
15.2,PROC
15.3,PROC
15.4,PROC
15.5,PROC
15.6,PROC
15.7,PROC
15.9,PROC
16.22,PROC
16.91,PROC
18.02,PROC
18.12,PROC
18.21,PROC
18.29,PROC
18.31,PROC
20,PROC
20.32.1,PROC
20.8,PROC
21.01,PROC
21.02,PROC
21.03,PROC
21.22,PROC
21.31,PROC
21.71,PROC
21.88,PROC
21.91,PROC
22.01,PROC
22.71,PROC
23.01,PROC
23.09,PROC
23.11,PROC
23.19,PROC
23.2,PROC
23.20.1,PROC
23.20.2,PROC
23.20.3,PROC
23.3,PROC
23.41,PROC
23.41.1,PROC
23.41.2,PROC
23.41.3,PROC
23.41.4,PROC
23.42,PROC
23.43.1,PROC
23.43.2,PROC
23.43.3,PROC
23.49.1,PROC
23.5,PROC
23.6,PROC
23.71.1,PROC
23.71.2,PROC
23.73,PROC
24.00.1,PROC
24.11,PROC
24.12,PROC
24.19.1,PROC
24.20.1,PROC
24.31,PROC
24.39.1,PROC
24.39.2,PROC
24.4,PROC
96.17,PROC
96.18,PROC
96.22,PROC
96.26,PROC
96.27,PROC
96.49,PROC
96.51,PROC
96.52,PROC
