id,name,address,city,state,zip,lat,lon,phone,revenue,utilization
CVXRQBPMCAJVBNRWUEOGMCLUFLPLANLCVOBB,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,CAMBRIDGE,MA,02186-3881,42.241557,-72.572257,,5166.4,27
XTFDQMMWDXFDILATKFYQAOHBNNKBBTFPUCCQ,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,CHELMSFORD,MA,02186-3881,42.115454,-71.081822,,9041.19999999999,29
MIKOYGJMEKTVARXUBAQTRFDCNJNUOQBPDFQW,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,100 HIGHLAND ST,METHUEN,MA,02186-3881,42.455723,-71.11868,,2583.2,32
AOWFLXCJEONSQCOVGVVNFSSROZBRMNPHICCW,STURDY MEMORIAL ASSOCIATES  INC.,100 HIGHLAND ST,FITCHBURG,MA,02186-3881,41.579794,-71.11868,,5812.2,58
SAXEYYPAPNLVPRTJEPMIZBVTXIBXCZEUWWDA,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION  INC,100 HIGHLAND ST,LOWELL,MA,02186-3881,42.405938,-71.142003,,4908.08,14
IZYZOOKEKROQFLQRPYFBHXASEBHWPRWHJPBM,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,ARLINGTON,MA,02186-3881,42.395317,-71.109231,,6716.32,12
MCLITVKNVZHKHGQOCCLOEKHHPSEAGWNNIQIM,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,BEDFORD,MA,02186-3881,41.931653,-72.572257,,3487.32,34
LDODVESCMXLNRINYMEVRCTJBFZLKZNTZUNHW,STEWARD MEDICAL GROUP  INC,115 MILL ST,ABINGTON,MA,02186-3881,41.617623,-72.539978,,2324.88,53
NVKEARRQJBNYWPZIBHWNOKRYTKWDQZRDRVVW,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,BEVERLY,MA,02186-3881,41.579794,-71.020173,,2454.04,50
TPDPRJXQECEPIIADHMSINIUAXPNSQWUYOZHD,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,WESTPORT,MA,02186-3881,41.897892,-71.008988,,8266.23999999999,31
ZPCKHEIOGLHVAFVRCETMCJBLJPPBLYEREHIW,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,115 MILL ST,QUINCY,MA,02186-3881,42.369451,-71.020173,,9686.99999999999,29
KPLOVHFPAUAVYQHCSYWYDMGCOELNLFRGOYYI,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,EAST LONGMEADOW,MA,02186-3881,42.495629,-71.105423,,4778.92,44
SRCLJNIOWBSQKKOTLESVDMRWQMBZICREEEAG,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,115 MILL ST,SOMERVILLE,MA,02186-3881,42.323853,-71.161357,,10203.64,37
LXBNRVUUGQBONFNWIONVMBCLBNCZJXYMVRRJ,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,115 MILL ST,MEDFORD,MA,02186-3881,42.323853,-71.208402,,3616.48,27
DTJEHEUUAQWTCZUKEDGSAQUVUBGBBPLEBBUQ,UMASS MEMORIAL MEDICAL GROUP  INC.,115 MILL ST,WINCHESTER,MA,02186-3881,42.33196,-71.002168,,4391.44,71
QZDANVEFXUBZWFYJALYVOPSDXHUKIGLQZDVA,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION  INC,115 MILL ST,WORCESTER,MA,02186-3881,42.405938,-71.002168,,7620.43999999999,68
WZEBDDQJDJGQEIGOEYOEQFGVIEYFSPEINCXV,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,CAMBRIDGE,MA,02186-3881,42.338551,-71.45343,,3487.32,56
HMDXOSOBIYOGKIAGSEIRKBXBYAOYTVRXWZUB,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,LEOMINSTER,MA,02186-3881,42.369451,-71.11868,,4778.92,38
JQFQYJKBFCZALFTUTSQASMWUSDXVKYKTVUXZ,HALLMARK HEALTH MEDICAL ASSOCIATES INC,100 HIGHLAND ST,BOSTON,MA,02186-3881,42.211656,-71.177925,,4391.44,29
DYRGYUNQMVABXYWNDJOMUHZUWYPQHEPALZQQ,STEWARD MEDICAL GROUP  INC,115 MILL ST,MILTON,MA,02186-3881,42.195951,-71.142003,,5941.36,36
RXSKNBAFBQNMWJFJBCBRRIKTOFDEVYBLPNAF,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,HOLLISTON,MA,02186-3881,42.742751,-71.013946,,6199.68,50
CDMSQFDBESDGRDZYEUMXWZYRFLSGNPZZIWPK,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,ABINGTON,MA,02186-3881,42.261006,-71.094162,,7620.43999999999,53
XKUPKAJFCRMUDPYIIHRJNQUTFFQIVFDBPQWL,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,FALL RIVER,MA,02186-3881,42.601977,-71.11868,,11236.92,57
YJEOIGIDOCDKDVKCZFLFKWHKTUTFGPJPKXQT,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,WINCHESTER,MA,02186-3881,42.648044,-71.714228,,9170.35999999999,56
BOILLFOYBCURTPGTDQQRHGQOOFKFJQUUNENZ,STEWARD MEDICAL GROUP  INC,115 MILL ST,CAMBRIDGE,MA,02186-3881,42.396824,-72.642448,,5683.04,61
ZZTPNNGNKYKVSCZDFHWLYJJWTZFDOKWVEWRY,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,SPRINGFIELD,MA,02186-3881,42.115454,-71.013946,,4778.92,30
KBYGTTPKEXWPVMDDXTEFJJGFEGCGMPXRANCN,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,DARTMOUTH,MA,02186-3881,42.125451,-71.008988,,9686.99999999999,66
GECGKEZVXZCCSESIJMOYXHPWKKVMCENEFLSP,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,PLYMOUTH,MA,02186-3881,42.700273,-71.087436,,8266.23999999999,25
WIRPYRDMQCSPFLNTLRQZIWUCVVIHODKATGMT,MILFORD REGIONAL PHYSICIAN GROUP INC,100 HIGHLAND ST,HANOVER,MA,02186-3881,42.241557,-71.321141,,4262.28,67
UMXFDKQNMEKRIBBIUDAUXVJBDSXCWXWQFGNF,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,MILTON,MA,02186-3881,42.418722,-71.109231,,4133.12,31
REHSGIHANSAWGBYWJXXVPRYAXNPTYNRCJFFU,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,FAIRHAVEN,MA,02186-3881,41.897892,-70.999158,,11882.72,47
FHWNGPJJTGCUCWMLOVCGTDJMVRSJIOYSLCMC,HALLMARK HEALTH MEDICAL ASSOCIATES INC,100 HIGHLAND ST,BEVERLY,MA,02186-3881,42.369451,-70.818844,,1549.92,12
BSVFAGWXYFFZLQVSJXPGGMTQHSNVWVWEJVON,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,MILTON,MA,02186-3881,42.395317,-71.321141,,7491.27999999999,44
ATFYMIYGISOXACLRSAHADMSTLUKYXXATHNJF,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,SOMERVILLE,MA,02186-3881,42.535183,-71.142003,,3616.48,63
RQMUBHGYQRPRLHDIAHEEVPTOOTJYWETXYTUH,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,MELROSE,MA,02186-3881,41.646686,-71.208402,,1808.24,20
JJJMKBZBBTOMVIODGSWGOMTAURHHPGQGCGIB,MILFORD REGIONAL PHYSICIAN GROUP INC,100 HIGHLAND ST,STONEHAM,MA,02186-3881,42.390445,-71.142003,,5037.24,67
JOTLBVJDTCZMAVEVXRJJDCNFYLAEMYLHJNYG,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,MEDFORD,MA,02186-3881,42.612088,-72.498111,,6587.16,21
ZRSNYKQNDECWPESQNSWPTRVDTFWLXXETRMQE,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,TEWKSBURY,MA,02186-3881,42.700273,-71.161357,,8782.87999999999,14
BJXHLHLRRTIYTJCWXRTDPXXBQTRXUKWYRGLP,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,LONGMEADOW,MA,02186-3881,42.355801,-72.572257,,0,35
ZLXZRNEFHRYJIAUCPTIEFARPCQCDUDYZPCNY,STEWARD MEDICAL GROUP  INC,115 MILL ST,CAMBRIDGE,MA,02186-3881,42.115454,-71.101033,,2970.68,54
YRPJJJWGWVYNGKIZMJIMVYVXHLULDDGVIKDL,STURDY MEMORIAL ASSOCIATES  INC.,100 HIGHLAND ST,EAST LONGMEADOW,MA,02186-3881,42.047565,-71.208402,,11624.4,50
VNBWSTFDOCNGFDLWOBTLXWDEYEFHEEXPHFYN,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,QUINCY,MA,02186-3881,42.33196,-71.109231,,5683.04,55
TNJUHUKQXDCBOCOQAJIWQLHQRYACIPBKKOEI,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,115 MILL ST,FRAMINGHAM,MA,02186-3881,42.421005,-71.054649,,7362.11999999999,37
JWKNVKXNMDVTLATUZXMIDROGCQJWADDEWTIM,MILFORD REGIONAL PHYSICIAN GROUP INC,100 HIGHLAND ST,HOLYOKE,MA,02186-3881,42.423844,-71.862574,,5812.2,19
ABSQXHNCZYBUUATSNMTRNDLBTXWLJZPITTBG,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,FRAMINGHAM,MA,02186-3881,41.930477,-71.163912,,5941.36,57
MZGFIUDAOTBVCFLOGKMBWJVVXHJFYTMNIDMR,UMASS MEMORIAL MEDICAL GROUP  INC.,115 MILL ST,CAMBRIDGE,MA,02186-3881,42.375541,-71.105423,,6458,37
FREHETBZPAGXMRFNYFLKXFPDMYZWEPDINNNI,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,FAIRHAVEN,MA,02186-3881,42.115454,-71.024638,,1679.08,76
QOOHMEZVTSLWDMHQDFYXQCJBEMIZESKHJIEU,STURDY MEMORIAL ASSOCIATES  INC.,100 HIGHLAND ST,ANDOVER,MA,02186-3881,42.63898,-71.294503,,0,19
GOCDAZBGNOLOZLXMGSGQYXAJHZUOAVKOGNLU,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,BRAINTREE,MA,02186-3881,42.63898,-70.945845,,6328.84,42
IPVUDAYLHTBAHACIIQRATVHONFRDCQOJOHEK,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,LONGMEADOW,MA,02186-3881,42.452752,-71.144319,,7749.59999999999,74
TGWFAHNMGDIJEPZDLAJHFIKMZKKXGVNTBXTE,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,115 MILL ST,ARLINGTON,MA,02186-3881,41.617623,-71.161751,,0,43
PNZMZRGTNKWASKQTNWSSEILOKOOEVHGPFXWV,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,SAUGUS,MA,02186-3881,42.452752,-70.970646,,2712.36,24
TVXTTINQGANVQXZFBWWECTCNAMJGOPDUVULW,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,115 MILL ST,BOSTON,MA,02186-3881,42.742751,-71.227845,,10203.64,47
AHJHBJSIKFKUHOYPHAFLPDMFOFMBNFMTJUKI,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION  INC,115 MILL ST,MILTON,MA,02186-3881,42.452752,-71.105423,,5553.88,29
SYTUXPATDFOHFWTENUXPDWXJUFCVGZCYATCT,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,WORCESTER,MA,02186-3881,42.520876,-70.485737,,7362.11999999999,37
TNAZRFXIMHMYCXWXVIPUDNIAWBUPYZVSNWRV,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,115 MILL ST,WATERTOWN,MA,02186-3881,42.323853,-71.281889,,8782.87999999999,58
QPJWFPUTPWRPHYSWIUIORKAQWOJWOAGBLZXQ,STEWARD MEDICAL GROUP  INC,115 MILL ST,BURLINGTON,MA,02186-3881,42.115454,-71.142003,,6070.52,33
QGIDBTSTAORAKPLZXCLBRHMGDKCRESNUBCUW,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,115 MILL ST,NORWELL,MA,02186-3881,42.33196,-71.807783,,7491.27999999999,44
TDEAPTXVCPVNLNSAGIMJGKVMAMRACLVPXGZT,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,PEABODY,MA,02186-3881,42.323853,-71.109231,,0,51
WJMKUDIBVVHYNGZYEUCTAWRNABEPTSVIRVXP,HALLMARK HEALTH MEDICAL ASSOCIATES INC,100 HIGHLAND ST,BROOKLINE,MA,02186-3881,42.261006,-72.572257,,1549.92,36
RYLRNURMVIRPYDWGDXYCOEYFRGEFYQAWOIGN,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,115 MILL ST,HOLYOKE,MA,02186-3881,42.261006,-72.572257,,5295.56,40
TYVTPFMCSNNYCOUJZAODXZTLIURUQMTOTRYL,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,BROOKLINE,MA,02186-3881,42.33196,-72.498111,,0,26
AOUTCJQDXAREZHQZKEUYGZGESEGVCJPUOAME,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,ANDOVER,MA,02186-3881,42.331876,-72.498111,,0,12
WTJMSIPJLDLFTLNQBVPDWRRURQVNYSMDEPEG,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,100 HIGHLAND ST,BROCKTON,MA,02186-3881,42.323853,-70.970646,,3745.64,28
CHMVKSKGWZIYHWTHMFQJFETBPRMEZLDRWMBT,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,EAST LONGMEADOW,MA,02186-3881,42.33196,-71.436196,,1808.24,51
WMEJKFLHUUCQVZXVWSRBVKTUXHAEHKGVPPIV,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,NORWELL,MA,02186-3881,42.164569,-71.059019,,9686.99999999999,32
FELLCPFRSWPQAYYPBGSHNIIXFCWHAKYVUMJQ,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,BURLINGTON,MA,02186-3881,42.241557,-71.082432,,6845.48,61
MGJOINCSLJNFKOJHJWBMNTIOKTHZEFNWMGBG,HALLMARK HEALTH MEDICAL ASSOCIATES INC,100 HIGHLAND ST,LEOMINSTER,MA,02186-3881,42.211656,-72.498111,,3229,57
COQGNXUGWAXVPEOHAPZSQLNDUCCKQREGWBKH,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,CAMBRIDGE,MA,02186-3881,42.559673,-72.572257,,8266.23999999999,78
WVAZWPEUOSSOORCLTXWFHUDFRQWGEHFHWZLK,HALLMARK HEALTH MEDICAL ASSOCIATES INC,100 HIGHLAND ST,HOLYOKE,MA,02186-3881,42.742751,-71.002168,,3616.48,71
NPVOSUQDYTRFMHQUVECXNQCTNLLUYTTBTTEN,UMASS MEMORIAL MEDICAL GROUP  INC.,115 MILL ST,WATERTOWN,MA,02186-3881,42.520876,-71.163912,,8912.03999999999,63
HHPFTCBSKIRDWHKWIVJLJPPRIJJFNDSBVDZT,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION  INC,100 HIGHLAND ST,SPRINGFIELD,MA,02186-3881,42.33196,-71.11868,,5166.4,31
CYYGRVGHFSWHVGMPOLLIYMYHEEUDJXVBFMWD,STEWARD MEDICAL GROUP  INC,115 MILL ST,WALTHAM,MA,02186-3881,42.742751,-70.957166,,4003.96,69
TAXMHASLMFOOEMLGTBOZELWOXMGNBZNXVDFA,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,NORWELL,MA,02186-3881,42.612088,-71.178588,,2841.52,64
LNYAHIBKEDKUNMPAOPCUHSDTVGBQBGFIMJIY,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,CHICOPEE,MA,02186-3881,42.474208,-71.11868,,6199.68,21
BVUFRNUPGZZRTWTPGCDVLQVWWPHDQTSZUAIO,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,100 HIGHLAND ST,BROOKLINE,MA,02186-3881,42.175668,-71.013946,,11882.72,71
OSWMZJFSJUGYUVMTKQBRMKOSGRJYEVQMVZLG,UMASS MEMORIAL MEDICAL GROUP  INC.,115 MILL ST,ATTLEBORO,MA,02186-3881,42.499295,-71.45343,,10203.64,37
WVAZJIRRHJPOOVFOBLLVFKZULMJHDUUUPJMH,MILFORD REGIONAL PHYSICIAN GROUP INC,115 MILL ST,WINCHESTER,MA,02186-3881,42.33196,-70.957211,866-389-2727,4908.08,52
YFXAOUTJWAZXUNRMPQGNJLNSNEEPHZNJXXHF,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,BROOKLINE,MA,02186-3881,42.323853,-71.082432,,9557.83999999999,45
HGNGJQSKLNXSPSGVFMJFDHJKUVFFCGTOEPUN,MILFORD REGIONAL PHYSICIAN GROUP INC,100 HIGHLAND ST,EVERETT,MA,02186-3881,42.125451,-71.144319,,6070.52,33
NGYAIVWIYUKXQRWJSQQLISPIMTSVUIVKOJLM,STEWARD MEDICAL GROUP  INC,115 MILL ST,WORCESTER,MA,02186-3881,42.782945,-71.109231,,1420.76,38
LGLIMZEFMWTRZAXDUAQZGZKTRGRRPIBIYMEG,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,MEDFORD,MA,02186-3881,42.33196,-71.81587,,7620.43999999999,50
UQJBNXPHYMKCOQOEGJCURTYSCUAOWAMPDEOV,MILFORD REGIONAL PHYSICIAN GROUP INC,100 HIGHLAND ST,MEDFORD,MA,02186-3881,41.646686,-71.020173,,6070.52,62
FQLYUXTAYGTTRTRQUEGAPNWZGECUPCOJZEME,HALLMARK HEALTH MEDICAL ASSOCIATES INC,115 MILL ST,CHELSEA,MA,02186-3881,42.559673,-71.11868,,4262.28,11
MEVSIHWVEACJJQJNZQRVOLDMHHYLFBSVGMUT,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,100 HIGHLAND ST,WESTPORT,MA,02186-3881,41.579794,-71.807783,,3745.64,35
NDHPFCTEEPAQDAGCMPJFWQIBHEYIZQFRRALD,STEWARD MEDICAL GROUP  INC,100 HIGHLAND ST,WORCESTER,MA,02186-3881,42.284767,-71.087436,,4778.92,68
JYPMZWPCZMTTOKVNKEZRGBFOIDBOGYPUPGWF,STEWARD MEDICAL GROUP  INC,115 MILL ST,ABINGTON,MA,02186-3881,42.062378,-70.83582,,11882.72,29
XLXTYWQXYQBLGGXJWDNQQGPXBNTYDXWEMKNO,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION  INC,100 HIGHLAND ST,MILTON,MA,02186-3881,42.455723,-70.62403,,4133.12,29
XROCZPXCVOIPLWZYZMOQAVUVAQJDGDWXILNC,STURDY MEMORIAL ASSOCIATES  INC.,100 HIGHLAND ST,MASHPEE,MA,02186-3881,41.897892,-71.101033,,6587.16,27
NPRCRMGFZCUQMVUZJWZXXWJSEALVCVSOAIOJ,BAY STATE PHYSICAL THERAPY OF RANDOLPH PC,100 HIGHLAND ST,ABINGTON,MA,02186-3881,42.396824,-72.539978,,4908.08,5
