TABLE_NAME,COLUMN_NAME,IS_NULLABLE
drug_exposure,DRUG_SOURCE_VALUE,YES
location,LOCATION_ID,NO
location,ADDRESS_1,YES
location,ADDRESS_2,YES
location,CITY,YES
location,STATE,YES
location,ZIP,YES
location,COUNTY,YES
location,LOCATION_SOURCE_VALUE,YES
observation,OBSERVATION_ID,NO
observation,PERSON_ID,NO
observation,OBSERVATION_CONCEPT_ID,NO
observation,OBSERVATION_TYPE_CONCEPT_ID,NO
observation,OBSERVATION_DATE,NO
observation,OBSERVATION_TIME,YES
observation,VALUE_AS_NUMBER,YES
observation,VALUE_AS_STRING,YES
observation,VALUE_AS_CONCEPT_ID,YES
observation,UNIT_CONCEPT_ID,YES
observation,RANGE_LOW,YES
observation,RANGE_HIGH,YES
observation,ASSOCIATED_PROVIDER_ID,YES
observation,VISIT_OCCURRENCE_ID,YES
observation,OBSERVATION_SOURCE_VALUE,YES
observation,UNIT_SOURCE_VALUE,YES
observation,RELEVANT_CONDITION_CONCEPT_ID,YES
observation_period,OBSERVATION_PERIOD_ID,NO
observation_period,PERSON_ID,NO
observation_period,OBSERVATION_PERIOD_START_DATE,NO
observation_period,OBSERVATION_PERIOD_END_DATE,NO
organization,ORGANIZATION_ID,NO
organization,PLACE_OF_SERVICE_CONCEPT_ID,YES
organization,LOCATION_ID,YES
organization,ORGANIZATION_SOURCE_VALUE,YES
organization,PLACE_OF_SERVICE_SOURCE_VALUE,YES
payer_plan_period,PAYER_PLAN_PERIOD_ID,NO
payer_plan_period,PERSON_ID,NO
payer_plan_period,PAYER_PLAN_PERIOD_START_DATE,NO
payer_plan_period,PAYER_PLAN_PERIOD_END_DATE,NO
payer_plan_period,PAYER_SOURCE_VALUE,YES
payer_plan_period,PLAN_SOURCE_VALUE,YES
payer_plan_period,FAMILY_SOURCE_VALUE,YES
person,PERSON_ID,NO
person,GENDER_CONCEPT_ID,NO
person,YEAR_OF_BIRTH,NO
person,MONTH_OF_BIRTH,YES
person,DAY_OF_BIRTH,YES
person,RACE_CONCEPT_ID,YES
person,ETHNICITY_CONCEPT_ID,YES
person,LOCATION_ID,YES
person,PROVIDER_ID,YES
person,CARE_SITE_ID,YES
person,PERSON_SOURCE_VALUE,YES
person,GENDER_SOURCE_VALUE,YES
person,RACE_SOURCE_VALUE,YES
person,ETHNICITY_SOURCE_VALUE,YES
procedure_cost,PROCEDURE_COST_ID,NO
procedure_cost,PROCEDURE_OCCURRENCE_ID,NO
procedure_cost,PAID_COPAY,YES
procedure_cost,PAID_COINSURANCE,YES
procedure_cost,PAID_TOWARD_DEDUCTIBLE,YES
procedure_cost,PAID_BY_PAYER,YES
procedure_cost,PAID_BY_COORDINATION_BENEFITS,YES
procedure_cost,TOTAL_OUT_OF_POCKET,YES
procedure_cost,TOTAL_PAID,YES
procedure_cost,DISEASE_CLASS_CONCEPT_ID,YES
procedure_cost,REVENUE_CODE_CONCEPT_ID,YES
procedure_cost,PAYER_PLAN_PERIOD_ID,YES
procedure_cost,DISEASE_CLASS_SOURCE_VALUE,YES
procedure_cost,REVENUE_CODE_SOURCE_VALUE,YES
procedure_occurrence,PROCEDURE_OCCURRENCE_ID,NO
procedure_occurrence,PERSON_ID,NO
procedure_occurrence,PROCEDURE_TYPE_CONCEPT_ID,NO
procedure_occurrence,PROCEDURE_DATE,NO
procedure_occurrence,PROCEDURE_CONCEPT_ID,NO
procedure_occurrence,ASSOCIATED_PROVIDER_ID,YES
procedure_occurrence,PROCEDURE_SOURCE_VALUE,YES
procedure_occurrence,VISIT_OCCURRENCE_ID,YES
procedure_occurrence,RELEVANT_CONDITION_CONCEPT_ID,YES
provider,PROVIDER_ID,NO
provider,NPI,YES
provider,DEA,YES
provider,SPECIALTY_CONCEPT_ID,YES
provider,CARE_SITE_ID,YES
provider,PROVIDER_SOURCE_VALUE,YES
provider,SPECIALTY_SOURCE_VALUE,YES
visit_occurrence,VISIT_OCCURRENCE_ID,NO
visit_occurrence,PERSON_ID,NO
visit_occurrence,PLACE_OF_SERVICE_CONCEPT_ID,NO
visit_occurrence,VISIT_START_DATE,NO
visit_occurrence,VISIT_END_DATE,NO
visit_occurrence,PLACE_OF_SERVICE_SOURCE_VALUE,YES
visit_occurrence,CARE_SITE_ID,YES
